id;full_name;role;gender;email;phone_number
1;Cambridgeshire strategize;Metal Director recontextualize;FEMALE;Gerard34@hotmail.com;card
2;invoice granular EXE;TCP attitude North Dakota;FEMALE;Oma.Paucek31@hotmail.com;Auto Loan Account
3;Macao;Concrete IB;OTHER;Arch.Terry66@hotmail.com;cross-media invoice
4;intuitive Texas haptic;Bermudian Dollar (customarily known as Bermuda Dollar) Factors;OTHER;Queen.Parker36@hotmail.com;Saudi Riyal orchid IB
5;parsing Fundamental;Plastic dynamic;FEMALE;Tess_Gerlach@gmail.com;THX Communications Rial Omani
6;Saudi Riyal;Avon;FEMALE;Jan79@hotmail.com;task-force markets circuit
7;payment Nakfa deliverables;next generation Awesome Plastic Mouse;FEMALE;Elena.Hauck9@hotmail.com;empower payment Bedfordshire
8;Stand-alone;Refined Cotton Ball;MALE;Barton.Halvorson75@yahoo.com;Chips
9;Analyst hacking cultivate;Toys Lead front-end;FEMALE;Abigale_West2@hotmail.com;Avon Texas repurpose
10;Buckinghamshire Practical;Handcrafted;MALE;Dusty23@hotmail.com;Beauty
